Date,Open,High,Close,Low,Trades,Change,Company
10/23/2025,85.245,88.7898,87.49,85.03,44980050,2.633585548,MRK
10/16/2025,85.655,86.46,84.79,83.1632,47865663,-1.009865157,MRK
10/9/2025,88.83,90.31,85.99,85.92,52962473,-3.197118091,MRK
10/2/2025,78.6,91,89.19,78.03,95382486,13.47328244,MRK
9/25/2025,81.76,81.94,78.56,77.58,64065126,-3.913894325,MRK
9/18/2025,82.11,82.75,81.51,80.535,69024445,-0.7307270734,MRK
9/11/2025,84.16,85.55,82.81,82.8,55558526,-1.604087452,MRK
9/4/2025,84.5,85.805,84.71,83,49598133,0.2485207101,MRK
8/28/2025,87.21,87.39,84.12,82.65,59426657,-3.543171655,MRK
8/21/2025,84.26,87.835,87.37,84.08,57352463,3.690956563,MRK
8/14/2025,80.96,84.7372,84.21,79.63,47810602,4.014328063,MRK
8/7/2025,79.06,81.32,80.69,78.43,54106650,2.061725272,MRK
7/31/2025,84.47,84.97,79.29,76.66,85477180,-6.132354682,MRK
7/24/2025,80.155,85.22,84.71,78.95,51809677,5.682739692,MRK
7/17/2025,83.425,84.36,79.96,79.855,53521896,-4.153431226,MRK
7/10/2025,80.95,85,83.36,80.15,71370878,2.977146387,MRK
7/2/2025,79.25,83.07,80.93,78.38,59483212,2.119873817,MRK
6/26/2025,79.24,81.46,79.1,78.135,121175999,-0.1766784452,MRK
6/19/2025,80.88,81.35,79.06,77.1,84465756,-2.25024728,MRK
6/12/2025,79.61,82.44,81.71,78.67,71082907,2.637859565,MRK
6/5/2025,77.02,79.49,78.97,75.4,66280046,2.53180992,MRK
5/29/2025,78.015,78.2,76.84,75.59,55606423,-1.506120618,MRK
5/22/2025,75.96,79.18,77.58,75.69,59526719,2.132701422,MRK
5/15/2025,75.92,81.27,76.06,73.31,99132612,0.1844046365,MRK
10/30/2025,70.035,70.44,64.59,64.25,67961377,-7.774684087,NKE
10/23/2025,67.56,70.08,69.11,67.41,43653153,2.294256957,NKE
10/16/2025,65.7,69.53,67.37,65.5475,61080183,2.541856925,NKE
10/9/2025,72.02,72.39,65.22,64.88,76676275,-9.441821716,NKE
10/2/2025,69.77,76.97,71.93,68.74,162018091,3.095886484,NKE
9/25/2025,70.785,72.4899,69.31,68.03,61496002,-2.083774811,NKE
9/18/2025,73.18,73.6,70.89,70.74,78579955,-3.129270292,NKE
9/11/2025,74.26,75.53,73,71.93,55502157,-1.69674118,NKE
9/4/2025,75.64,76.05,73.91,73.63,47374414,-2.287149656,NKE
8/28/2025,78.47,80.165,77.37,77.12,53687867,-1.401809609,NKE
8/21/2025,77.11,79.135,78.38,75.1335,40377350,1.646997795,NKE
8/14/2025,74.32,77.685,76.97,73.05,44616196,3.565662002,NKE
8/7/2025,75.03,76.35,74.19,73.39,38409180,-1.119552179,NKE
7/31/2025,79,79.99,74.62,72.53,78729900,-5.544303797,NKE
7/24/2025,72.93,77.54,76.27,72.91,57715732,4.579733991,NKE
7/17/2025,72.34,73.275,72.47,71.03,48083673,0.1797069395,NKE
7/10/2025,76.04,77.5,72.63,72.4,74753901,-4.484481852,NKE
7/2/2025,71.45,77.03,76.39,70.06,107508231,6.913925822,NKE
6/26/2025,59.575,74.19,72.04,59.44,197861623,20.92320604,NKE
6/19/2025,61.38,62.18,59.79,59.19,60609539,-2.590420332,NKE
6/12/2025,63.3,64.85,60.53,60.11,63505865,-4.375987362,NKE
6/5/2025,60.05,63.66,62.8,59.6,60268338,4.579517069,NKE
5/29/2025,61.13,63.11,60.59,60.1,57053678,-0.8833633241,NKE
5/22/2025,62.15,63.19,60.02,59.49,74278667,-3.427192277,NKE
5/15/2025,62.38,63.75,63.11,60.4228,87837732,1.170246874,NKE
10/30/2025,151.61,153.165,148.47,150.37,35691082,-2.071103489,PG
10/23/2025,151.59,157.4,150.58,152.49,38182888,-0.6662708622,PG
10/16/2025,149,152.03,146.965,151.4,43522089,-1.365771812,PG
10/9/2025,151.5,153.17,149.45,149.69,32344556,-1.353135314,PG
10/2/2025,152.42,154.38,151.41,152.27,35573007,-0.6626426978,PG
9/25/2025,156.08,156.08,150.97,152.5,37282099,-3.273962071,PG
9/18/2025,157.88,161.67,155.97,156.04,44195004,-1.209779579,PG
9/11/2025,159.61,160.27,155.89,157.9,30145651,-2.330681035,PG
9/4/2025,157.36,160.56,156.495,160.02,26312684,-0.549694967,PG
8/28/2025,158.39,158.7,155.03,157.04,26757607,-2.121346045,PG
8/21/2025,154.42,161.03,154.17,158.67,36198230,-0.1618961274,PG
8/14/2025,153.54,157.011,153.27,154.36,33547814,-0.1758499414,PG
8/7/2025,150.25,154.01,150.02,153.51,34255964,-0.153078203,PG
7/31/2025,157.625,158.65,149.91,150.65,47953635,-4.894528152,PG
7/24/2025,155.07,159.02,154.89,158.3,32147775,-0.1160766106,PG
7/17/2025,155.58,155.8,151.9,155.1,44770548,-2.365342589,PG
7/10/2025,160.89,161.18,155.95,157.05,53286909,-3.070420784,PG
7/2/2025,159.26,162.53,158.13,160.83,37751425,-0.7095315836,PG
6/26/2025,159.07,161.74,157.17,159.86,46659391,-1.194442698,PG
6/19/2025,160.88,161.95,157.66,159.08,36526304,-2.001491795,PG
6/12/2025,163.39,164.016,159.91,160.28,33798704,-2.129873309,PG
6/5/2025,169.02,169.04,162.51,164.02,34787373,-3.851615193,PG
5/29/2025,165.27,170.99,165.27,169.89,34239827,0,PG
5/22/2025,163.47,166.365,163.41,165.86,31716372,-0.03670398238,PG
5/15/2025,157.425,163.43,156.69,163.28,36976212,-0.4668889948,PG
10/30/2025,269.64,274.54,265.24,268.62,7086910,-1.63180537,TRV
10/23/2025,264.4,271.74,262.895,269.89,5291634,-0.5692133132,TRV
10/16/2025,268.53,275.86,252.26,262.01,8502977,-6.058913343,TRV
10/9/2025,285.01,287.95,269.33,270.12,5381538,-5.501561349,TRV
10/2/2025,277.79,286.17,274.84,284.56,4336884,-1.061953274,TRV
9/25/2025,276.03,279.08,274.03,277.76,3915699,-0.7245589248,TRV
9/18/2025,278.19,279.7,270.68,277,7728645,-2.699593803,TRV
9/11/2025,275.46,279.995,269.2,278.93,4676113,-2.272562259,TRV
9/4/2025,271.26,280.7,268.85,275.22,4735132,-0.8884465089,TRV
8/28/2025,275.3,276.11,269.14,271.51,5425147,-2.237559027,TRV
8/21/2025,264.52,279.04,263.37,276.29,6375635,-0.4347497354,TRV
8/14/2025,265.18,270.8,262.96,265.59,6347499,-0.8371672072,TRV
8/7/2025,260.35,268.57,258.71,264.87,5154863,-0.6299212598,TRV
7/31/2025,260,263.39,254.25,258.32,6377004,-2.211538462,TRV
7/24/2025,265.05,268,260.61,261.05,6789680,-1.675155631,TRV
7/17/2025,254.05,268.23,249.19,265.97,8238727,-1.91300925,TRV
7/10/2025,263.44,264.04,252.66,254.48,6018021,-4.092013362,TRV
7/2/2025,264.06,269.12,255.995,264.13,4675651,-3.054230099,TRV
6/26/2025,265.76,268.96,260.19,263.31,5827352,-2.095875978,TRV
6/19/2025,265,274.01,262.18,264.98,6546687,-1.064150943,TRV
6/12/2025,273.555,273.555,258.8401,263.47,6073678,-5.379137651,TRV
6/5/2025,273.42,277.83,269.5014,273.69,4597040,-1.433179724,TRV
5/29/2025,274.19,277.65,270.61,275.7,6527478,-1.305663956,TRV
5/22/2025,273.75,275.03,268.12,271.04,4329821,-2.056621005,TRV
5/15/2025,270.2,273.89,261.09,273.63,5778671,-3.37157661,TRV
10/30/2025,363.5,381,337.12,341.56,58332838,-7.257221458,UNH
10/23/2025,358.54,371.05,353.6415,362.5,31933627,-1.366235288,UNH
10/16/2025,354.74,364.22,350.83,356.6,32694337,-1.102215707,UNH
10/9/2025,361.025,376.22,352.51,354.5,45757948,-2.358562426,UNH
10/2/2025,343.98,368,341.45,360.2,45193050,-0.7355078784,UNH
9/25/2025,334.46,354.5,332.6,344.08,45303628,-0.5561203133,UNH
9/18/2025,351.255,351.71,333.84,336.69,57111747,-4.957936542,UNH
9/11/2025,319.71,362.31,313.8001,352.51,115611552,-1.84851897,UNH
9/4/2025,308.305,317.94,303.7,315.39,41654043,-1.493650768,UNH
8/28/2025,308.49,310,294.2001,309.87,58503364,-4.632208499,UNH
8/21/2025,313.175,316.3999,295.7,307.42,106917060,-5.579947314,UNH
8/14/2025,253.87,310.3,252.14,304.01,136677034,-0.6814511364,UNH
8/7/2025,238.24,253.1599,236.9526,250.89,75725890,-0.5403794493,UNH
7/31/2025,283.5,285,234.6,237.77,149453200,-17.24867725,UNH
7/24/2025,284.64,292.64,278.22,281.06,77102454,-2.255480607,UNH
